onset,duration,trial_type,LST_id,LST_id_orig,response_time,motor_onset,motor_duration,confidence_onset,confidence_duration,accuracy,motor_key,subject
90.61132631519284,5,Quaternary,77,26,1.0526135954714846,96.62257491696072,2,98.64297535852528,2,1.0,3,27
104.52053494612484,5,Null,138,46,0.5829572495858883,110.73196180381638,2,112.7524638021423,2,1.0,4,27
126.09374984791066,5,Ternary,55,19,0.6235487864978495,131.85441761471884,2,133.87493831121537,2,1.0,1,27
139.70241282211646,5,Quaternary,90,30,1.7816392849272231,145.63009158307975,2,147.65040073356067,2,1.0,4,27
154.2794172205904,5,Ternary,68,23,1.514759141326067,160.5577083834287,2,162.5780420981755,2,0.0,2,27
168.60597827067977,5,Binary,10,4,0.6025972987263231,174.48355508992972,2,176.50395626475802,2,1.0,4,27
182.46502409916863,5,Null,113,38,0.7124457738536876,188.5094384961776,2,190.5298484701489,2,1.0,3,27
196.5077244968561,5,Binary,7,3,0.761561478524527,202.78603215808107,2,204.80632004397197,2,1.0,3,27
211.4186694915916,5,Null,139,47,0.7570563183835475,217.51329948587957,2,219.53361816876716,2,1.0,4,27
226.1625671957081,5,Quaternary,75,25,1.5668779194602394,232.04018251120576,2,234.06060348410392,2,1.0,4,27
247.0346793818244,5,Null,143,48,0.6312341028169612,253.1959727675494,2,255.21642197102483,2,1.0,1,27
261.94560714490945,5,Binary,36,12,0.977591753435263,267.923406545764,2,269.9438128534239,2,1.0,4,27
276.7730424263136,5,Quaternary,74,25,1.4474728440472973,282.95124592771026,2,284.97156791027373,2,1.0,3,27
291.3000655046271,5,Binary,18,6,0.5025188030631398,297.59494524786714,2,299.6154740102429,2,1.0,4,27
305.676702832272,5,Null,129,43,0.8216394462433527,311.6544252406384,2,313.67476995431934,2,1.0,3,27
319.8028770134624,5,Ternary,57,19,0.568310346279759,325.89746521183406,2,327.9178300902131,2,1.0,3,27
334.7138055098112,5,Quaternary,97,33,0.5321748409696738,340.9754681294871,2,342.99587920335034,2,1.0,4,27
